iter	RMSE
167	2.39561091
168	2.387647069
169	2.379050945
170	2.372192672
171	2.368085365
172	2.362577187
173	2.357025142
174	2.349954369
175	2.342917088
176	2.338513525
177	2.332749464
178	2.325764693
179	2.321368269
180	2.314443876
181	2.306731863
182	2.305441149
183	2.301936037
184	2.292871372
185	2.284075505
186	2.278938636
187	2.273163977
188	2.263208247
189	2.256271492
190	2.245619001
191	2.2419245
192	2.235165529
193	2.229178102
194	2.223207647
195	2.219233235
196	2.214169604
197	2.207629159
198	2.197668359
199	2.191600183
200	2.184130011
201	2.179540256
202	2.173586594
203	2.165974472
204	2.160296993
205	2.154423878
206	2.152142484
207	2.143707676
208	2.135703859
209	2.132508911
210	2.125350655
211	2.118537509
212	2.117102742
213	2.110530168
214	2.105805407
215	2.102445968
216	2.097787268
217	2.093363206
218	2.088063474
219	2.079636148
220	2.071355932
221	2.065793897
222	2.061616103
223	2.054854872
224	2.04853584
225	2.044483755
226	2.043129868
227	2.037184239
228	2.033272276
229	2.026779129
230	2.024649508
231	2.017497723
232	2.013379359
233	2.007272154
234	2.002126334
235	1.998851248
236	1.992957684
237	1.985585073
238	1.979328179
239	1.977420776
240	1.975958766
241	1.970989085
242	1.964120376
243	1.957344145
244	1.952958399
245	1.944761361
246	1.94232356
247	1.940098381
248	1.93226138
249	1.929173999
250	1.923886416
251	1.918847729
252	1.915813906
253	1.91172286
254	1.91010623
255	1.906867512
256	1.901152629
257	1.895852644
258	1.890373582
259	1.887900242
260	1.886488051
261	1.879708296
262	1.87721679
263	1.870503124
264	1.862991801
265	1.857178053
266	1.851112985
267	1.844419641
268	1.84179866
269	1.835965738
270	1.831150666
271	1.82934202
272	1.827356188
273	1.823389004
274	1.820606119
275	1.816627568
276	1.812158626
277	1.809308327
278	1.804728275
279	1.803036796
280	1.799707252
281	1.792156471
282	1.789262363
283	1.786576887
284	1.784168951
285	1.780659061
286	1.77510168
287	1.769690179
288	1.768000379
289	1.761328442
290	1.760252627
291	1.758716831
292	1.756574116
293	1.753095666
294	1.748777931
295	1.744494653
296	1.741271658
297	1.739078339
298	1.734477559
299	1.733071916
300	1.731562295
301	1.726054445
302	1.723549265
303	1.721832739
304	1.719281562
305	1.717455191
306	1.716203536
307	1.712503352
308	1.707188332
309	1.703317998
310	1.698191889
311	1.696843221
312	1.692858353
313	1.691507835
314	1.689926896
315	1.686509423
316	1.685155441
317	1.681910325
318	1.678573449
319	1.674238134
320	1.673307612
321	1.672249553
322	1.670462344
323	1.666376331
324	1.664403948
325	1.663807245
326	1.662510023
327	1.658015787
328	1.653104988
329	1.649222614
330	1.64752974
331	1.64692564
332	1.64585652
333	1.643928468
334	1.638269904
335	1.635059996
336	1.629232915
337	1.624626745
338	1.623053919
339	1.618632589
340	1.618192698
341	1.613031587
342	1.608981267
343	1.603971253
344	1.601069472
345	1.596721855
346	1.594963363
347	1.591469701
348	1.590403988
349	1.586340725
350	1.582149193
351	1.576991607
352	1.572961167
353	1.569515717
354	1.567815964
355	1.5672104
356	1.564926074
357	1.562350141
358	1.55843865
359	1.555102498
360	1.552018116
361	1.55086655
362	1.547474546
363	1.544866391
364	1.542893667
365	1.541759074
366	1.540704253
367	1.536052584
368	1.533345796
369	1.530263525
370	1.528241967
371	1.527043785
372	1.526015509
373	1.525486339
374	1.521203625
375	1.520468064
376	1.516190472
377	1.513903607
378	1.513456748
379	1.510043636
380	1.505455497
381	1.501855164
382	1.498257554
383	1.494313915
384	1.491871576
385	1.488267649
386	1.487058689
387	1.486176066
388	1.483648153
389	1.482492848
390	1.479315639
391	1.476581693
392	1.473663007
393	1.469698163
394	1.469379353
395	1.467674553
396	1.46400151
397	1.460753017
398	1.458770648
399	1.45525785
400	1.450187262
401	1.446110121
402	1.445804568
403	1.444482226
404	1.444011617
405	1.440423201
406	1.439687524
407	1.436403193
408	1.432707618
409	1.432408727
410	1.431861311
411	1.428202479
412	1.427645984
413	1.427017841
414	1.425628685
415	1.424914924
416	1.424485632
417	1.420871845
418	1.420352386
419	1.419177236
420	1.415078658
421	1.41233146
422	1.411441918
423	1.410581544
424	1.407641828
425	1.404524242
426	1.400363578
427	1.394768681
428	1.391929632
429	1.389421129
430	1.385539391
431	1.381891402
432	1.379131439
433	1.377030363
434	1.374613447
435	1.372327644
436	1.37127744
437	1.36958735
438	1.366181655
439	1.365389638
440	1.364222478
441	1.360022221
442	1.35897118
443	1.356925354
444	1.354202218
445	1.351621076
446	1.348522859
447	1.347349661
448	1.345330642
449	1.34316167
450	1.341201367
451	1.340940606
452	1.3396618
453	1.336463967
454	1.334018524
455	1.3320553
456	1.328730902
457	1.325049689
458	1.32420761
459	1.321756597
460	1.319521176
461	1.317435582
462	1.313975911
463	1.312054561
464	1.311836065
465	1.311006489
466	1.310301688
467	1.306980893
468	1.303288959
469	1.300741858
470	1.299072892
471	1.298701371
472	1.297843126
473	1.295263474
474	1.292949003
475	1.289929395
476	1.289749526
477	1.286895209
478	1.284339873
479	1.282350141
480	1.281437476
481	1.278610863
482	1.274877161
483	1.273144917
484	1.271205735
485	1.269890635
486	1.26815121
487	1.26673313
488	1.264289031
489	1.262298109
490	1.261665172
491	1.259951419
492	1.259245273
493	1.256387747
494	1.25405788
495	1.252350576
496	1.250806557
497	1.249707624
498	1.248238207
499	1.246503741
500	1.244099245
501	1.243777785
502	1.240454976
503	1.240234102
504	1.240080358
505	1.238149695
506	1.236490283
507	1.233477948
508	1.229672202
509	1.227867621
510	1.224577856
511	1.224085017
512	1.222757018
513	1.221416466
514	1.217993792
515	1.215391176
516	1.212868355
517	1.212279201
518	1.210127576
519	1.207699284
520	1.206274172
521	1.203823743
522	1.202424518
523	1.200123328
524	1.198604406
525	1.195746394
526	1.19493097
527	1.192900616
528	1.191420496
529	1.188303371
530	1.185705962
531	1.183234083
532	1.180376817
533	1.180011864
534	1.176861209
535	1.174758183
536	1.173273994
537	1.171232533
538	1.168254952
539	1.165696159
540	1.164373863
541	1.161499699
542	1.161324435
543	1.158484032
544	1.156897805
545	1.154916249
546	1.152549156
547	1.151386156
548	1.149164256
549	1.148381522
550	1.146947192
551	1.144368099
552	1.141585834
553	1.139376423
554	1.137556555
555	1.135269008
556	1.135007843
557	1.131630955
558	1.12859053
559	1.128282827
560	1.126282831
561	1.124717155
562	1.122112945
563	1.119734349
564	1.117562208
565	1.116834146
566	1.116715769
567	1.114260289
568	1.11163812
569	1.111498131
570	1.111064831
571	1.109788616
572	1.109446012
573	1.10652723
574	1.104474642
575	1.104103749
576	1.101667777
577	1.101425546
578	1.098821592
579	1.098599456
580	1.096914715
581	1.096652038
582	1.096235723
583	1.094872402
584	1.092921259
585	1.092190607
586	1.091797324
587	1.089298979
588	1.088056819
589	1.085641468
590	1.085365002
591	1.085108925
592	1.082724244
593	1.08054337
594	1.080307362
595	1.080045725
596	1.079653269
597	1.078055065
598	1.075714889
599	1.075279498
600	1.074639496
601	1.072942813
602	1.071442421
603	1.069195161
604	1.066697965
605	1.064540545
606	1.063987184
607	1.061529228
608	1.059922929
609	1.057817911
610	1.057472552
611	1.057223989
612	1.055486909
613	1.054019213
614	1.052556194
615	1.050082754
616	1.049828256
617	1.047707781
618	1.04580243
619	1.045022026
620	1.042697569
621	1.040409552
622	1.038325262
623	1.036373005
624	1.034263506
625	1.033800758
626	1.03207282
627	1.031829935
628	1.03020399
629	1.029744659
630	1.028138359
631	1.026221768
632	1.02510331
633	1.02310658
634	1.022882336
635	1.021660458
636	1.019754253
637	1.019133795
638	1.017625201
639	1.01593934
640	1.015714504
641	1.015515627
642	1.014428853
643	1.012691134
644	1.010407761
645	1.007740029
646	1.005813667
647	1.003371229
648	1.001630874
649	0.9993755527
650	0.999009308
651	0.9973778184
652	0.9954851241
653	0.9952803705
654	0.9931254711
655	0.9918379053
656	0.9899101473
657	0.9897601828
658	0.9880803052
659	0.9873923796
660	0.9858064709
661	0.9846549158
662	0.9828379508
663	0.9813822513
664	0.9795167004
665	0.9772961688
666	0.9759550296
667	0.9747979966
668	0.9735802603
669	0.973132787
670	0.972991801
671	0.9728021522
672	0.9726115052
673	0.9722887238
674	0.9719475742
675	0.9704783911
676	0.9687000948
677	0.9674299576
678	0.9654954157
679	0.9642201012
680	0.9622728246
681	0.9613329803
682	0.958777998
683	0.9586339753
684	0.956782868
685	0.9546679953
686	0.9525409928
687	0.9504123624
688	0.948937339
689	0.9486912738
690	0.9464725893
691	0.9453343162
692	0.9433079308
693	0.9431848535
694	0.9419947148
695	0.940184923
696	0.9388683562
697	0.9367422577
698	0.9352475914
699	0.9339544178
700	0.9326109046
701	0.9306592856
702	0.9291173568
703	0.927486542
704	0.9249018721
705	0.9225537738
706	0.9211936903
707	0.9209918404
708	0.9194771155
709	0.9180406709
710	0.9176436408
711	0.9161527729
712	0.9158837557
713	0.9155209082
714	0.9144966853
715	0.913235128
716	0.912982792
717	0.9113500809
718	0.9087318631
719	0.9081281484
720	0.9066091567
721	0.9063884814
722	0.9055796885
723	0.9054999934
724	0.9046768038
725	0.9045075292
726	0.9030132695
727	0.9016890666
728	0.9000748456
729	0.8990686446
730	0.8982333798
731	0.8957856081
732	0.8935635001
733	0.8926717247
734	0.8918013359
735	0.8900092888
736	0.8882902486
737	0.8865285264
738	0.8853735288
739	0.8841180954
740	0.8840091741
741	0.883067487
742	0.880839523
743	0.8787319398
744	0.8775386568
745	0.8759655789
746	0.8744285578
747	0.872753709
748	0.8704899257
749	0.8688615547
750	0.868711145
751	0.868543178
752	0.8671849379
753	0.8655887771
754	0.8642152631
755	0.863018671
756	0.8619249452
757	0.8600361036
758	0.8583561483
759	0.8569308634
760	0.8568402344
761	0.8557262734
762	0.8555759631
763	0.8538766779
764	0.8524052302
765	0.8509338297
766	0.8492774966
767	0.848780607
768	0.8477132206
769	0.846620446
770	0.84613502
771	0.8448527677
772	0.8435286743
773	0.8423645438
774	0.8411425772
775	0.8397714551
776	0.8394127893
777	0.8375239878
778	0.8364763258
779	0.8349947225
780	0.8342963837
781	0.8338292061
782	0.8327661095
783	0.8314580601
784	0.8302060482
785	0.82931797
786	0.8278970178
787	0.8268683428
788	0.8251363471
789	0.8247487388
790	0.8238171968
791	0.8224994956
792	0.8217631701
793	0.8199339451
794	0.8184680513
795	0.8171530925
796	0.8168602973
797	0.8151202209
798	0.8135855454
799	0.8133304342
800	0.8113812309
801	0.8106939777
802	0.8092293495
803	0.8079433377
804	0.8065600296
805	0.8052850117
806	0.8043835169
807	0.802586039
808	0.8019619199
809	0.8010983356
810	0.7997406658
811	0.798101559
812	0.796943365
813	0.7950633804
814	0.7946781536
815	0.7940265516
816	0.792203687
817	0.7911262226
818	0.7899020894
819	0.7888595773
820	0.7874060226
821	0.7865650578
822	0.7862582569
823	0.7848572404
824	0.7835322946
825	0.7818237668
826	0.7802335821
827	0.7794532339
828	0.7774739516
829	0.7768451906
830	0.7757293045
831	0.7748410195
832	0.7728921165
833	0.7710339134
834	0.7696656065
835	0.7676766284
836	0.76736547
837	0.7662657289
838	0.764713753
839	0.7635245315
840	0.7632346919
841	0.7619839639
842	0.7609518808
843	0.7600052243
844	0.7593700269
845	0.7583101056
846	0.7569612012
847	0.7555297423
848	0.7541766036
849	0.7532701337
850	0.7526901638
851	0.7508288511
852	0.7489899452
853	0.7475075771
854	0.7459994697
855	0.7445513438
856	0.7437295252
857	0.7434795424
858	0.7431473701
859	0.7415594056
860	0.7411850867
861	0.7401037764
862	0.7387765258
863	0.7381567007
864	0.7378970538
865	0.7368326782
866	0.7354119864
867	0.734237995
868	0.7331801774
869	0.731710627
870	0.7309187404
871	0.7308636001
872	0.7298016713
873	0.7292792777
874	0.7282129804
875	0.7273648747
876	0.7265115115
877	0.7249364614
878	0.7239307816
879	0.72384885
880	0.7228184063
881	0.7218794304
882	0.7208717715
883	0.7202748703
884	0.7187996673
885	0.7171446304
886	0.7156549453
887	0.7148533822
888	0.713132723
889	0.7116813674
890	0.710358226
891	0.7097584186
892	0.7083663861
893	0.7072017405
894	0.7061001207
895	0.7049145146
896	0.7032502647
897	0.7020717742
898	0.700923334
899	0.7001808805
900	0.6990100276
901	0.6976469881
902	0.6970436779
903	0.6959288205
904	0.6944278877
905	0.69319818
906	0.692147436
907	0.6911086312
908	0.6905287408
909	0.689578397
910	0.6882417617
911	0.6868244498
912	0.686106345
913	0.6844693493
914	0.683597977
915	0.6823433502
916	0.6814996847
917	0.6804228646
918	0.6791238093
919	0.6786822342
920	0.6780509908
921	0.6774154224
922	0.6765541436
923	0.6762971602
924	0.6754163836
925	0.6743333344
926	0.6731777001
927	0.6715879114
928	0.6707724715
929	0.6705392733
930	0.6692398192
931	0.6680086532
932	0.6675428137
933	0.6664189811
934	0.6648917386
935	0.6636735594
936	0.6622376254
937	0.6615283667
938	0.661238222
939	0.6609561038
940	0.6599740116
941	0.6597485953
942	0.6592247029
943	0.6581747737
944	0.6575288343
945	0.6562210189
946	0.6556635976
947	0.6546062801
948	0.6539907355
949	0.6530563808
950	0.6519473069
951	0.6510333853
952	0.6499534107
953	0.6492084868
954	0.6487055234
955	0.648147129
956	0.6479921799
957	0.6471321408
958	0.6460107513
959	0.6459248789
960	0.6454172983
961	0.6446271793
962	0.6427706637
963	0.6426476985
964	0.6415506183
965	0.6406213107
966	0.6388749749
967	0.6382763756
968	0.6370612773
969	0.6364651951
970	0.6360468023
971	0.635563859
972	0.6346119006
973	0.633527628
974	0.6327517138
975	0.6323945089
976	0.6315368714
977	0.6303122871
978	0.6294348585
979	0.6284559422
980	0.6274719424
981	0.6267140636
982	0.6257984823
983	0.6250692707
984	0.6240537251
985	0.6226625201
986	0.6213800762
987	0.6199940919
988	0.6190114066
989	0.6189072316
990	0.61840966
991	0.6176105877
992	0.6162214484
993	0.6158090199
994	0.6146000734
995	0.614270098
996	0.6131835274
997	0.612243074
998	0.611172003
999	0.6101020428
